FIGHT_ID,BOUT,reason,method,outcome
f4e490d25bd62d39,Anderson Silva vs. Nick Diaz,method_excluded;outcome_nc,Overturned,NC/NC
f3100979573e2895,Hector Lombard vs. Joshua Burkman,method_excluded;outcome_nc,Overturned,NC/NC
da3210cd829fceb7,KJ Noons vs. Daron Cruickshank,method_excluded;outcome_nc,Could Not Continue,NC/NC
1cad3dc6d7eccdfb,Pedro Munhoz vs. Jerrod Sanders,method_excluded;outcome_nc,Overturned,NC/NC
fe6b45e7210bfa8e,Mike de la Torre vs. Brian Ortega,method_excluded;outcome_nc,Overturned,NC/NC
a6245f48fc60bc6a,Robert Drysdale vs. Keith Berish,method_excluded;outcome_nc,Overturned,NC/NC
629655f9b898810d,Kevin Casey vs. Bubba Bush,method_excluded;outcome_nc,Overturned,NC/NC
ceac6997d22f2f3b,Rani Yahya vs. Johnny Bedford,method_excluded;outcome_nc,Could Not Continue,NC/NC
443791a8c6790cf0,Phil Harris vs. Louis Gaudinot,method_excluded;outcome_nc,Overturned,NC/NC
80cb366cd1e54aec,Chico Camus vs. Yaotzin Meza,method_excluded;outcome_nc,Overturned,NC/NC
f1a9c3187855155c,Dennis Siver vs. Manvel Gamburyan,method_excluded;outcome_nc,Overturned,NC/NC
ab18079c7c0040fb,Yves Edwards vs. Yancy Medeiros,method_excluded;outcome_nc,Overturned,NC/NC
b25662d83e6d4c3b,Ross Pearson vs. Melvin Guillard,method_excluded;outcome_nc,Could Not Continue,NC/NC
c9eb00b7efdc7559,Sarah Kaufman vs. Jessica Eye,method_excluded;outcome_nc,Overturned,NC/NC
6b30fe49b6df63de,Roger Bowling vs. Abel Trujillo,method_excluded;outcome_nc,Could Not Continue,NC/NC
bb59b82bddc96cca,Jim Miller vs. Pat Healy,method_excluded;outcome_nc,Overturned,NC/NC
be70a2f68f6ad3e7,Alex Caceres vs. Kyung Ho Kang,method_excluded;outcome_nc,Overturned,NC/NC
287c71b9017c5769,Che Mills vs. Matthew Riddle,method_excluded;outcome_nc,Overturned,NC/NC
7601245171a28da1,Iuri Alcantara vs. Pedro Nobre,method_excluded;outcome_nc,Could Not Continue,NC/NC
61d89fc97e7b145c,Igor Pokrajac vs. Joey Beltran,method_excluded;outcome_nc,Overturned,NC/NC
346875f19aefc88d,Thiago Silva vs. Stanislav Nedkov,method_excluded;outcome_nc,Overturned,NC/NC
c47cf097227cc6a0,Jake Shields vs. Ed Herman,method_excluded;outcome_nc,Overturned,NC/NC
7e27d9f37c217b63,Phil Davis vs. Wagner Prado,method_excluded;outcome_nc,Could Not Continue,NC/NC
ccacbe6a4c31cd45,Chris Clements vs. Matthew Riddle,method_excluded;outcome_nc,Overturned,NC/NC
93ffadd9e41af797,Roland Delorme vs. Francisco Rivera,method_excluded;outcome_nc,Overturned,NC/NC
8208afe1e52b02e9,Mackens Semerzier vs. Robert Peralta,method_excluded;outcome_nc,Overturned,NC/NC
91daeeeea0a83e49,Nik Lentz vs. Charles Oliveira,method_excluded;outcome_nc,Overturned,NC/NC
