fighter,use_surname,gdelt_volume,gdelt_active_days
muhammad mokaev,true,95,70
jonathan pearce,true,94,72
harry hardwick,true,94,49
edmen shahbazyan,false,94,38
aleksandar rakic,false,93,38
cody haddon,true,93,30
chris curtis,false,93,45
jesus aguilar,true,92,54
kyle nelson,false,92,35
kennedy nzechukwu,true,92,54
baisangur susurkaev,true,92,33
raoni barcelos,true,91,54
bryan battle,true,90,20
ricky simon,false,89,57
cody durden,true,86,52
christian rodriguez,false,86,41
andrey pulyaev,true,86,39
brad tavares,true,85,57
david martinez,false,83,39
esteban ribovics,true,83,37
malcolm wellmaker,true,82,37
marcus buchecha,true,82,43
ryan spann,false,81,49
patricio freire,true,81,49
matheus camilo,true,81,51
iwo baraniewski,true,80,33
jairzinho rozenstruik,true,80,60
jack della maddalena,true,79,43
montel jackson,false,79,38
mick parkin,true,78,58
ignacio bahamondes,true,78,46
cameron smotherman,true,78,27
aljamain sterling,true,78,13
israel adesanya,true,77,59
martin buday,false,77,52
cody brundage,true,77,39
brendson ribeiro,true,77,57
charles jourdain,true,77,34
jalin turner,false,77,48
brad katona,true,76,51
mansur abdul-malik,true,76,34
austin hubbard,true,76,57
morgan charriere,true,74,35
mason jones,false,74,37
joselyne edwards,false,73,38
marc-andre barriault,true,73,36
ricky turcios,true,73,22
luke riley,false,73,37
julianna pena,false,73,48
tagir ulanbekov,true,72,32
stephanie luciano,true,72,43
vitor petrino,true,72,33
gianni vazquez,true,72,51
myktybek orolbai,true,72,24
joseph morales,false,71,25
jimmy crute,false,70,34
iasmin lucindo,true,69,33
kyle prepolec,true,69,40
rodolfo bellato,true,68,40
diego ferreira,false,67,38
sean woodson,true,66,43
miesha tate,false,66,57
navajo stirling,true,66,44
ikram aliskerov,true,66,32
david onama,false,66,33
eric nolan,false,65,25
ethyn ewing,false,65,26
nursulton ruziboev,true,65,36
michal oleksiejczuk,false,65,36
melissa croden,true,64,28
ketlen vieira,false,64,46
muslim salikhov,true,64,24
yousri belgaroui,true,64,23
danny silva,false,64,32
robelis despaigne,true,64,31
kiefer crosbie,true,63,41
losene keita,false,63,27
julius walker,false,63,29
jose delano,true,63,34
mohammad yahya,false,63,18
adam fugitt,true,62,19
torrez finney,true,62,40
yaroslav amosov,true,62,30
jackson mcvey,false,62,31
abdul rakhman yakhyaev,true,62,32
nikolay veretennikov,true,62,26
rizvan kuniev,true,61,31
fatima kline,false,61,26
matt schnell,true,61,34
nasrat haqparast,true,60,31
lance gibson jr.,false,60,28
santiago luna,false,59,22
elijah smith,false,59,25
nathaniel wood,false,59,26
carla esparza,true,59,38
macy chiasson,true,58,35
marco tulio,false,58,28
josiah harrell,true,58,40
tabatha ricci,false,58,27
irene aldana,true,57,47
farid basharat,false,57,26
tom nolan,false,57,22
nora cornolle,true,56,30
nicolas dalby,false,56,38
julien leblanc,true,56,36
priscila cachoeira,true,55,31
edgar chairez,true,55,33
reinier de ridder,true,55,22
charles radtke,true,55,32
chase hooper,true,55,43
chris padilla,false,55,25
billy elekana,true,55,25
da''mon blackshear,true,55,19
michelle montague,true,55,39
yana santos,false,54,34
daniel santos,false,54,24
jonathan micallef,true,54,30
clay guida,false,53,47
kaan ofli,false,53,19
thiago moises,true,53,40
john yannis,true,52,22
donte johnson,false,52,20
adrian yanez,false,52,33
punahele soriano,true,52,29
karol rosa,false,52,30
tuco tokkos,true,51,22
jose ochoa,false,51,27
mayra bueno silva,false,51,37
matt frevola,true,51,26
bolaji oki,false,50,26
oumar sy,false,50,22
daniil donchenko,true,50,25
dricus du plessis,true,50,40
dustin stoltzfus,true,50,24
rhys mckee,false,49,28
hamdy abdelwahab,true,49,25
kevin borjas,true,49,26
drakkar klose,false,49,26
tresean gore,false,49,25
nazim sadykhov,true,49,26
jake hadley,true,48,42
jakub wiklacz,true,48,23
ketlen souza,false,48,26
alexandr romanov,true,48,35
sean sharaf,true,47,28
oban elliott,false,47,22
farman hasanov,true,47,38
dione barbosa,false,46,20
vince morales,false,46,25
marwan rahiki,true,46,22
lerryan douglas,false,46,18
themba gorimbo,true,46,33
alexia thainara,true,46,31
ramiz brahimaj,true,46,22
luana pinheiro,true,45,35
islam dulatov,true,45,25
chidi njokuani,true,45,22
ludovit klein,false,45,23
li jingliang,true,45,31
bruna brasil,true,45,33
trey waters,true,45,28
francisco prado,false,45,22
lukasz brzeski,true,44,26
cristian quinonez,true,44,23
mitch raposo,true,44,27
axel sola,false,44,18
jhonata diniz,false,44,24
azamat bekoev,true,44,21
javier reyes,false,44,28
jacqueline cavalcanti,true,43,29
alex morono,true,43,29
steven asplund,true,43,24
john castaneda,true,42,20
azat maksum,true,42,21
yan xiaonan,true,42,27
luis gurule,true,41,26
brando pericic,true,41,21
colby thicknesse,true,41,23
rafael cerqueira,true,41,27
melsik baghdasaryan,true,40,22
eric mcconico,true,40,23
raquel pennington,false,40,30
andre petroski,true,40,29
eduarda moura,false,40,18
gaston bolanos,true,40,22
andre muniz,false,40,26
rafael estevam,true,40,16
carlos leal,false,40,18
lucas almeida,false,39,26
sedriques dumas,false,39,22
melissa martinez,false,39,14
marina rodriguez,false,39,32
gunnar nelson,false,39,29
ivan erslan,true,39,23
rinat fakhretdinov,true,39,23
mohammed usman,false,39,29
gabriella fernandes,false,38,19
austin vanderford,true,38,19
loma lookboonmee,true,38,27
pedro munhoz,true,38,31
luana santos,false,38,20
jacob malkoun,true,37,17
felipe lima,false,37,25
mike davis,false,37,15
cesar almeida,false,37,25
ismael bonfim,false,37,18
ricardo ramos,false,37,18
allan nascimento,false,36,24
tim means,false,36,20
djorden santos,false,36,10
irina alekseeva,true,36,21
alberto montes,true,35,15
bekzat almakhan,true,35,20
theodor berggren,true,35,20
karolina kowalkiewicz,true,35,25
don''tale mayes,false,34,23
ivana petrovic,true,34,21
toshiomi kazama,true,34,10
tofiq musayev,true,34,21
nicolle caliari,true,34,13
jared gooden,true,34,24
lauren murphy,false,33,13
antonio trocoli,true,33,20
aleksandre topuria,false,33,21
brian kelleher,true,33,30
ollie schmid,true,33,26
damian pinas,false,33,23
victor valenzuela,true,33,22
jacobe smith,false,33,19
william gomis,false,32,16
luan lacerda,true,32,20
dusko todorovic,true,32,21
robert ruchala,true,32,18
veronica hardy,false,32,16
trevin giles,false,32,28
julia polastri,true,32,23
court mcgee,false,31,21
rinya nakamura,false,31,14
gilbert urbina,true,31,17
tommy mcmillen,true,31,15
murtazali magomedov,false,31,14
jamey-lyn horth,false,30,16
piera rodriguez,false,30,14
carlston harris,false,30,22
marcin prachnio,true,30,17
diyar nurgozhay,true,30,14
ryan gandra,true,30,18
rodrigo nascimento,false,30,16
stewart nicoll,true,30,21
victor henry,false,30,18
yazmin jauregui,true,30,11
francis marshall,false,29,21
alice pereira,false,29,11
loopy godinez,true,29,18
taiyilake nueraji,true,29,11
timmy cuamba,true,29,12
kaue fernandes,false,29,12
jafel filho,false,29,19
khaos williams,false,29,23
cezary oleksiejczuk,false,28,12
kevin jousset,true,28,17
andre lima,false,28,21
alden coria,false,28,19
max gimenis,true,28,18
darren elkins,true,28,16
joanderson brito,false,27,14
cody gibson,false,27,9
ravena oliveira,false,27,9
carlos hernandez,false,27,13
mario pinto,false,27,17
nick klein,false,27,14
jeisla chaves,true,26,15
imanol rodriguez,false,26,19
muhammad naimov,true,26,14
austin bashi,false,26,9
ismail naurdiev,true,26,16
talita alencar,true,25,16
lando vannata,true,25,19
tanner boser,false,25,15
nyamjargal tumendemberel,true,25,12
zach reese,false,25,20
armen petrosyan,true,25,21
wang cong,false,25,21
chepe mariscal,true,24,13
quang le,false,24,12
brogan walker,false,24,12
charlie campbell,false,24,16
sodiq yusuff,true,24,20
adrian luna martinetti,true,24,15
billy quarantillo,true,24,20
vanessa demopoulos,true,23,13
alice ardelean,true,23,16
guilherme pat,false,23,14
chelsea chandler,false,23,18
uran satybaldiev,true,23,13
mark vologdin,true,23,16
ariane carnelossi,true,23,12
bruno lopes,false,23,13
robert bryczek,true,23,12
mairon santos,false,23,11
denise gomes,false,22,15
javid basharat,false,22,17
ryan loder,false,22,12
kevin christian,false,22,12
phil rowe,false,22,18
jonathan martinez,false,22,15
kris moutinho,true,21,16
